Medication,Strength,Total
Naltrexone,3mg,
Naltrexone,4mg,
Naltrexone,4.5mg,
Naltrexone,5mg,
Naltrexone,6mg,
Naltrexone,8mg,
Naltrexone,1.5mg,
Ketamine,50mg,
Ketamine,100mg,
Ketamine,150mg,
Ketamine,200mg,
Dihexa,10mg,10mg
Dihexa,20mg,20mg
Methylene Blue,10mg,10mg
MK-677 (Ibutamoren),12.5mg,12.5mg
MK-677 (Ibutamoren),25mg,25mg
Ondansetron,4mg,120mg
Tesofensine,250 mcg,250 mcg
Tesofensine,500 mcg,500 mcg
5 Amino 1-MQ,50mg,50mg
BAM15,15mg,15mg
SLU-PP-33,200mcg,200mcg
SLU-PP-33,1000mcg,1000mcg
7-Keto DHEA SR,10mg,
Anastrozole SR,0.1mg,0.1mg
Anastrozole SR,0.125mg,0.125mg
Anastrozole SR,0.25mg,0.25mg
Anastrozole SR,0.4mg,0.4mg
Anastrozole SR,0.5mg,0.5mg
Anastrozole SR,0.75mg,0.75mg
Anastrozole SR,1.1mg,1.1mg
Anastrozole,0.25mg,0.25mg
Anastrozole,0.5mg,0.5mg
Anastrozole,1mg,1mg
BIEST (20:80),0.05mg,
BIEST (20:80),0.1mg,
BIEST (20:80) IR,1.5mg,
BIEST (50:50),0.05mg,
BIEST (50:50),0.1mg,
BIEST (50:50),0.2mg,
BIEST (50:50),0.4mg,
BIEST (50:50),0.5mg,
BIEST (50:50),1mg,
BIEST (50:50) IR,1mg,
BIEST (50:50) IR,2mg,
BIEST 50/50/Progesterone SR,1.8mg/200mg,
Cabergoline,0.5mg,
Clomiphene CITRATE,25mg,
Clomiphene CITRATE,51mg,
DHEA SR (DYE-FREE),25mg,
DHEA/Pregnenolone,25mg/25mg,
DHEA/Pregnenolone,10mg/50mg,
DHEA SR,10mg,
DHEA SR,50mg,
Enclomiphene CITRATE,12.5mg,12.5mg
Enclomiphene CITRATE,25mg,25mg
Enclomiphene CITRATE,51mg,51mg
Enclominphene,12.5mg,12.5mg
Enclominphene,25mg,25mg
ESTRADIOL IR (DYE-FREE) (LACTOSE FREE),2mg,
Estradiol IR,1.0mg,
Estradiol IR,1.5mg,
Estradiol IR,2mg,
Estradiol IR,2.5mg,
Estradiol IR,4mg,
Estradiol,0.5mg,
Estradiol,1mg,
Estradiol,2mg,
Exemestane,25mg,
KyzaTrex,200mg,
Oxandrolone,5mg,5mg
Oxandrolone,10mg,10mg
Oxandrolone,20mg,20mg
Oxandrolone,25mg,25mg
Oxandrolone,50mg,50mg
Oxandrolone,50mg,50mg
Oxytocin,50IU,
Oxytocin,250IU,
Progesterone IR,50mg,
Progesterone IR,150mg,
Progesterone IR,200mg,
Progesterone IR,300mg,
Pregnenolone IR,25mg,
Progesterone SR,100mg,
Progesterone SR,150mg,
Progesterone SR,300mg,
Stanazolol,10mg,
Stanazolol (DYE-FREE) (LACTOSE FREE),25mg,
Stanazolol (DYE-FREE) (LACTOSE FREE),50mg,
T3/T4 - triiodothyronine/thyroxine,25/150mcg,
T3/T4 - triiodothyronine/thyroxine,12/50mcg,
Liothyronine (T3) IR,6.5mcg,
Liothyronine (T3) SR,6.5mcg,
Liothyronine (T3) SR,12mcg,
Liothyronine (T3) SR,22mcg,
T4 - thyroxine (levothyroxine),50mcg,
Tamoxifen,10mg,
Epitalon,3mg,3mg
Sildenafil,50mg,50mg
Sildenafil,100mg,100mg
Tadalafil,5.5mg,5.5mg
Tadalafil,25mg,25mg
Vardenafil,20mg,20mg
Finasteride,0.50mg,
Finasteride,1mg,
Finasteride/Minoxidil,1mg/2.5mg,
Minoxidlil,2.5mg,
BPC-157/KPV/PEA/Tributyrin,500/500mcg/400/400mg,—
BPC-157/KPV,500mcg/500mcg,500mcg/500mcg
BPC-157,500mcg,500mcg
Doxycycline Hycalate,20mg,
Doxycycline Hycalate,30mg,
Doxycycline Hycalate,50mg,
Doxycycline Hycalate,100mg,
Methylene Blue,25mg,25mg
Methylene Blue,50mg,50mg
Metformin,500mg,
Metformin,1000mg,
Ondansetron,4mg,
Ondansetron,8mg,
Ondansetron (30-Day),4mg,
Omeprazole,4mg,
Omeprazole,8mg,
Phentermine,37.5mg,
Phentermine/Topiramate,15mg/12.5mg,
Phentermine/Topiramate,30mg/12.5mg,
Spironolactone SR,10mg,
Spironolactone SR,55mg,
Spironolactone SR,75mg,
Spironolactone SR,115mg,
Topiramate,25mg,
Topiramate,50mg,
Vitamin D3,5000U,
Vitamin D3,"10,000U",
Vitamin D3/Vitamin K2,"10,000iu/180mcg",
